,SKIP,hPSCreg,Sum
United Kingdom,16,1501,1517
United States,599,437,1036
Japan,859,21,880
Germany,111,212,323
China,137,160,297
Spain,39,114,153
Sweden,12,98,110
Denmark,9,96,105
Taiwan,68,20,88
Italy,26,59,85
Ireland,0,77,77
South Korea,17,58,75
Netherlands,12,71,83
Russia,9,61,70
France,2,75,77
Australia,2,41,43
Israel,9,33,42
Singapore,22,14,36
Belgium,0,32,32
Iran,3,26,29
Canada,17,6,23
Finland,4,24,28
Czech Republic,1,21,22
India,8,15,23
Turkey,0,18,18
Qatar,0,14,14
Switzerland,0,11,11
Thailand,7,3,10
Hungary,4,1,5
Poland,5,1,6
Portugal,0,2,2
Saudi Arabia,0,25,25
Austria,0,1,1
Brazil,0,1,1
Luxembourg,0,1,1
Norway,0,1,1
Slovakia,0,1,1
Slovenia,0,1,1
Hong Kong,0,1,1
